"subjID","H","B","A","v","walk_no","path_leaf","reward","node","node_reward","step_no"
1,3,2,0,4,7,5,143,2,54,1
1,3,2,0,4,7,5,143,5,89,2
1,3,2,0,4,8,7,116,3,79,1
1,3,2,0,4,8,7,116,7,37,2
1,3,2,0,4,9,5,149,2,54,1
1,3,2,0,4,9,5,149,5,95,2
1,3,2,0,4,10,5,147,2,54,1
1,3,2,0,4,10,5,147,5,93,2
1,3,2,0,4,11,6,149,3,78,1
1,3,2,0,4,11,6,149,6,71,2
1,3,2,0,4,12,6,151,3,77,1
1,3,2,0,4,12,6,151,6,74,2
1,3,2,0,4,13,6,145,3,73,1
1,3,2,0,4,13,6,145,6,72,2
1,3,2,0,4,14,6,155,3,80,1
1,3,2,0,4,14,6,155,6,75,2
1,3,2,0,4,15,6,154,3,78,1
1,3,2,0,4,15,6,154,6,76,2
1,3,3,0,6,1,6,87,2,60,1
1,3,3,0,6,1,6,87,6,27,2
1,3,3,0,6,2,7,121,2,62,1
1,3,3,0,6,2,7,121,7,59,2
1,3,3,0,6,3,13,98,4,64,1
1,3,3,0,6,3,13,98,13,34,2
1,3,3,0,6,4,5,66,2,57,1
1,3,3,0,6,4,5,66,5,9,2
1,3,3,0,6,5,12,109,4,65,1
1,3,3,0,6,5,12,109,12,44,2
1,3,3,0,6,6,8,127,3,39,1
1,3,3,0,6,6,8,127,8,88,2
1,3,3,0,6,7,8,125,3,35,1
1,3,3,0,6,7,8,125,8,90,2
1,3,3,0,6,8,8,129,3,40,1
1,3,3,0,6,8,8,129,8,89,2
1,3,3,0,6,9,7,115,2,60,1
1,3,3,0,6,9,7,115,7,55,2
1,3,3,0,6,10,7,116,2,58,1
1,3,3,0,6,10,7,116,7,58,2
1,3,3,0,6,11,7,118,2,61,1
1,3,3,0,6,11,7,118,7,57,2
1,3,3,0,6,12,8,129,3,41,1
1,3,3,0,6,12,8,129,8,88,2
1,3,3,0,6,13,13,95,4,62,1
1,3,3,0,6,13,13,95,13,33,2
1,3,3,0,6,14,8,131,3,39,1
1,3,3,0,6,14,8,131,8,92,2
1,3,3,0,6,15,8,127,3,37,1
1,3,3,0,6,15,8,127,8,90,2
1,3,4,0,6,1,12,94,3,45,1
1,3,4,0,6,1,12,94,12,49,2
1,3,4,0,6,2,17,80,4,60,1
1,3,4,0,6,2,17,80,17,20,2
1,3,4,0,6,3,20,118,5,60,1
1,3,4,0,6,3,20,118,20,58,2
1,3,4,0,6,4,20,119,5,63,1
1,3,4,0,6,4,20,119,20,56,2
1,3,4,0,6,5,16,81,4,58,1
1,3,4,0,6,5,16,81,16,23,2
1,3,4,0,6,6,21,84,5,60,1
1,3,4,0,6,6,21,84,21,24,2
1,3,4,0,6,7,18,99,5,63,1
1,3,4,0,6,7,18,99,18,36,2
1,3,4,0,6,8,20,124,5,64,1
1,3,4,0,6,8,20,124,20,60,2
1,3,4,0,6,9,14,105,4,58,1
1,3,4,0,6,9,14,105,14,47,2
1,3,4,0,6,10,9,89,2,49,1
1,3,4,0,6,10,9,89,9,40,2
1,3,4,0,6,11,15,98,4,57,1
1,3,4,0,6,11,15,98,15,41,2
1,3,4,0,6,12,14,105,4,58,1
1,3,4,0,6,12,14,105,14,47,2
1,3,4,0,6,13,19,95,5,67,1
1,3,4,0,6,13,19,95,19,28,2
1,3,4,0,6,14,9,88,2,48,1
1,3,4,0,6,14,9,88,9,40,2
1,3,4,0,6,15,17,77,4,58,1
1,3,4,0,6,15,17,77,17,19,2
1,4,2,0,6,1,9,176,2,63,1
1,4,2,0,6,1,9,176,4,48,2
1,4,2,0,6,1,9,176,9,65,3
1,4,2,0,6,2,11,137,2,63,1
1,4,2,0,6,2,11,137,5,42,2
1,4,2,0,6,2,11,137,11,32,3
1,4,2,0,6,3,9,176,2,63,1
1,4,2,0,6,3,9,176,4,50,2
1,4,2,0,6,3,9,176,9,63,3
1,4,2,0,6,4,9,179,2,63,1
1,4,2,0,6,4,9,179,4,48,2
1,4,2,0,6,4,9,179,9,68,3
1,4,2,0,6,5,9,176,2,63,1
1,4,2,0,6,5,9,176,4,50,2
1,4,2,0,6,5,9,176,9,63,3
1,4,2,0,6,6,9,181,2,64,1
1,4,2,0,6,6,9,181,4,50,2
1,4,2,0,6,6,9,181,9,67,3
1,4,2,0,6,7,9,180,2,64,1
1,4,2,0,6,7,9,180,4,49,2
1,4,2,0,6,7,9,180,9,67,3
1,4,2,0,6,8,13,175,3,55,1
1,4,2,0,6,8,13,175,6,43,2
1,4,2,0,6,8,13,175,13,77,3
1,4,2,0,6,9,13,175,3,57,1
1,4,2,0,6,9,13,175,6,43,2
1,4,2,0,6,9,13,175,13,75,3
1,4,2,0,6,10,13,180,3,58,1
1,4,2,0,6,10,13,180,6,46,2
1,4,2,0,6,10,13,180,13,76,3
1,4,2,0,6,11,8,167,2,64,1
1,4,2,0,6,11,8,167,4,48,2
1,4,2,0,6,11,8,167,8,55,3
1,4,2,0,6,12,13,175,3,56,1
1,4,2,0,6,12,13,175,6,44,2
1,4,2,0,6,12,13,175,13,75,3
1,4,2,0,6,13,9,182,2,65,1
1,4,2,0,6,13,9,182,4,52,2
1,4,2,0,6,13,9,182,9,65,3
1,4,2,0,6,14,9,174,2,62,1
1,4,2,0,6,14,9,174,4,47,2
1,4,2,0,6,14,9,174,9,65,3
1,4,2,0,6,15,10,145,2,64,1
1,4,2,0,6,15,10,145,5,40,2
1,4,2,0,6,15,10,145,10,41,3
1,4,3,0,2,1,30,128,3,53,1
1,4,3,0,2,1,30,128,10,58,2
1,4,3,0,2,1,30,128,30,17,3
1,4,3,0,2,2,19,145,2,47,1
1,4,3,0,2,2,19,145,6,56,2
1,4,3,0,2,2,19,145,19,42,3
1,4,3,0,2,3,40,97,4,43,1
1,4,3,0,2,3,40,97,13,38,2
1,4,3,0,2,3,40,97,40,16,3
1,4,3,0,2,4,29,165,3,58,1
1,4,3,0,2,4,29,165,10,62,2
1,4,3,0,2,4,29,165,29,45,3
1,4,3,0,2,5,31,141,3,58,1
1,4,3,0,2,5,31,141,10,60,2
1,4,3,0,2,5,31,141,31,23,3
1,4,3,0,2,6,24,141,3,53,1
1,4,3,0,2,6,24,141,8,51,2
1,4,3,0,2,6,24,141,24,37,3
1,4,3,0,2,7,18,125,2,41,1
1,4,3,0,2,7,18,125,6,54,2
1,4,3,0,2,7,18,125,18,30,3
1,4,3,0,2,8,15,132,2,43,1
1,4,3,0,2,8,15,132,5,48,2
1,4,3,0,2,8,15,132,15,41,3
1,4,3,0,2,9,24,142,3,56,1
1,4,3,0,2,9,24,142,8,50,2
1,4,3,0,2,9,24,142,24,36,3
1,4,3,0,2,10,35,164,4,46,1
1,4,3,0,2,10,35,164,12,67,2
1,4,3,0,2,10,35,164,35,51,3
1,4,3,0,2,11,36,172,4,47,1
1,4,3,0,2,11,36,172,12,69,2
1,4,3,0,2,11,36,172,36,56,3
1,4,3,0,2,12,36,174,4,45,1
1,4,3,0,2,12,36,174,12,68,2
1,4,3,0,2,12,36,174,36,61,3
1,4,3,0,2,13,37,160,4,45,1
1,4,3,0,2,13,37,160,12,68,2
1,4,3,0,2,13,37,160,37,47,3
1,4,3,0,2,14,17,150,2,48,1
1,4,3,0,2,14,17,150,6,56,2
1,4,3,0,2,14,17,150,17,46,3
1,4,3,0,2,15,35,166,4,49,1
1,4,3,0,2,15,35,166,12,70,2
1,4,3,0,2,15,35,166,35,47,3
1,4,4,0,2,1,80,142,5,69,1
1,4,4,0,2,1,80,142,20,12,2
1,4,4,0,2,1,80,142,80,61,3
1,4,4,0,2,2,55,144,4,36,1
1,4,4,0,2,2,55,144,14,65,2
1,4,4,0,2,2,55,144,55,43,3
1,4,4,0,2,3,48,131,3,39,1
1,4,4,0,2,3,48,131,12,62,2
1,4,4,0,2,3,48,131,48,30,3
1,4,4,0,2,4,52,136,3,40,1
1,4,4,0,2,4,52,136,13,32,2
1,4,4,0,2,4,52,136,52,64,3
1,4,4,0,2,5,73,164,5,70,1
1,4,4,0,2,5,73,164,18,49,2
1,4,4,0,2,5,73,164,73,45,3
1,4,4,0,2,6,77,121,5,66,1
1,4,4,0,2,6,77,121,19,42,2
1,4,4,0,2,6,77,121,77,13,3
1,4,4,0,2,7,29,128,2,52,1
1,4,4,0,2,7,29,128,7,50,2
1,4,4,0,2,7,29,128,29,26,3
1,4,4,0,2,8,46,142,3,38,1
1,4,4,0,2,8,46,142,12,64,2
1,4,4,0,2,8,46,142,46,40,3
1,4,4,0,2,9,33,150,2,56,1
1,4,4,0,2,9,33,150,8,62,2
1,4,4,0,2,9,33,150,33,32,3
1,4,4,0,2,10,31,145,2,47,1
1,4,4,0,2,10,31,145,8,62,2
1,4,4,0,2,10,31,145,31,36,3
1,4,4,0,2,11,28,161,2,53,1
1,4,4,0,2,11,28,161,7,49,2
1,4,4,0,2,11,28,161,28,59,3
1,4,4,0,2,12,74,132,5,66,1
1,4,4,0,2,12,74,132,19,40,2
1,4,4,0,2,12,74,132,74,26,3
1,4,4,0,2,13,57,141,4,33,1
1,4,4,0,2,13,57,141,14,62,2
1,4,4,0,2,13,57,141,57,46,3
1,4,4,0,2,14,27,134,2,49,1
1,4,4,0,2,14,27,134,7,52,2
1,4,4,0,2,14,27,134,27,33,3
1,4,4,0,2,15,84,171,5,69,1
1,4,4,0,2,15,84,171,21,57,2
1,4,4,0,2,15,84,171,84,45,3
2,2,2,0,1,1,2,51,2,51,1
2,2,2,0,1,2,3,47,3,47,1
2,2,2,0,1,3,2,56,2,56,1
2,2,2,0,1,4,2,55,2,55,1
2,2,2,0,1,5,2,52,2,52,1
2,2,2,0,1,6,2,53,2,53,1
2,2,2,0,1,7,2,50,2,50,1
2,2,2,0,1,8,2,50,2,50,1
2,2,2,0,1,9,2,51,2,51,1
2,2,2,0,1,10,2,47,2,47,1
2,2,2,0,1,11,2,52,2,52,1
2,2,2,0,1,12,3,46,3,46,1
2,2,2,0,1,13,2,49,2,49,1
2,2,2,0,1,14,2,52,2,52,1
2,2,2,0,1,15,3,46,3,46,1
2,2,3,0,2,1,3,55,3,55,1
2,2,3,0,2,2,2,50,2,50,1
2,2,3,0,2,3,4,50,4,50,1
2,2,3,0,2,4,3,53,3,53,1
2,2,3,0,2,5,3,56,3,56,1
2,2,3,0,2,6,4,53,4,53,1
2,2,3,0,2,7,3,54,3,54,1
2,2,3,0,2,8,4,49,4,49,1
2,2,3,0,2,9,3,55,3,55,1
2,2,3,0,2,10,3,52,3,52,1
2,2,3,0,2,11,3,52,3,52,1
2,2,3,0,2,12,3,53,3,53,1
2,2,3,0,2,13,3,54,3,54,1
2,2,3,0,2,14,4,53,4,53,1
2,2,3,0,2,15,4,51,4,51,1
2,2,4,0,7,1,4,78,4,78,1
2,2,4,0,7,2,5,54,5,54,1
2,2,4,0,7,3,4,79,4,79,1
2,2,4,0,7,4,3,67,3,67,1
2,2,4,0,7,5,2,81,2,81,1
2,2,4,0,7,6,4,79,4,79,1
2,2,4,0,7,7,2,81,2,81,1
2,2,4,0,7,8,4,76,4,76,1
2,2,4,0,7,9,2,79,2,79,1
2,2,4,0,7,10,2,84,2,84,1
2,2,4,0,7,11,2,77,2,77,1
2,2,4,0,7,12,4,77,4,77,1
2,2,4,0,7,13,4,77,4,77,1
2,2,4,0,7,14,4,75,4,75,1
2,2,4,0,7,15,2,80,2,80,1
2,3,2,0,6,1,4,61,2,52,1
2,3,2,0,6,1,4,61,4,9,2
2,3,2,0,6,2,6,58,3,49,1
2,3,2,0,6,2,6,58,6,9,2
2,3,2,0,6,3,5,66,2,45,1
2,3,2,0,6,3,5,66,5,21,2
2,3,2,0,6,4,7,70,3,49,1
2,3,2,0,6,4,7,70,7,21,2
2,3,2,0,6,5,5,68,2,45,1
2,3,2,0,6,5,5,68,5,23,2
2,3,2,0,6,6,7,69,3,48,1
2,3,2,0,6,6,7,69,7,21,2
2,3,2,0,6,7,5,67,2,45,1
2,3,2,0,6,7,5,67,5,22,2
2,3,2,0,6,8,5,67,2,46,1
2,3,2,0,6,8,5,67,5,21,2
2,3,2,0,6,9,6,61,3,52,1
2,3,2,0,6,9,6,61,6,9,2
2,3,2,0,6,10,5,66,2,46,1
2,3,2,0,6,10,5,66,5,20,2
2,3,2,0,6,11,7,73,3,49,1
2,3,2,0,6,11,7,73,7,24,2
2,3,2,0,6,12,7,69,3,47,1
2,3,2,0,6,12,7,69,7,22,2
2,3,2,0,6,13,6,57,3,48,1
2,3,2,0,6,13,6,57,6,9,2
2,3,2,0,6,14,7,74,3,50,1
2,3,2,0,6,14,7,74,7,24,2
2,3,2,0,6,15,7,70,3,48,1
2,3,2,0,6,15,7,70,7,22,2
2,3,3,0,4,1,6,116,2,82,1
2,3,3,0,4,1,6,116,6,34,2
2,3,3,0,4,2,10,78,3,36,1
2,3,3,0,4,2,10,78,10,42,2
2,3,3,0,4,3,5,125,2,86,1
2,3,3,0,4,3,5,125,5,39,2
2,3,3,0,4,4,7,95,2,86,1
2,3,3,0,4,4,7,95,7,9,2
2,3,3,0,4,5,5,120,2,84,1
2,3,3,0,4,5,5,120,5,36,2
2,3,3,0,4,6,5,125,2,83,1
2,3,3,0,4,6,5,125,5,42,2
2,3,3,0,4,7,11,97,4,57,1
2,3,3,0,4,7,11,97,11,40,2
2,3,3,0,4,8,5,122,2,85,1
2,3,3,0,4,8,5,122,5,37,2
2,3,3,0,4,9,6,116,2,80,1
2,3,3,0,4,9,6,116,6,36,2
2,3,3,0,4,10,6,122,2,85,1
2,3,3,0,4,10,6,122,6,37,2
2,3,3,0,4,11,6,124,2,86,1
2,3,3,0,4,11,6,124,6,38,2
2,3,3,0,4,12,5,121,2,82,1
2,3,3,0,4,12,5,121,5,39,2
2,3,3,0,4,13,5,124,2,83,1
2,3,3,0,4,13,5,124,5,41,2
2,3,3,0,4,14,5,124,2,84,1
2,3,3,0,4,14,5,124,5,40,2
2,3,3,0,4,15,6,126,2,89,1
2,3,3,0,4,15,6,126,6,37,2
2,3,4,0,8,1,6,103,2,46,1
2,3,4,0,8,1,6,103,6,57,2
2,3,4,0,8,2,16,105,4,67,1
2,3,4,0,8,2,16,105,16,38,2
2,3,4,0,8,3,20,128,5,46,1
2,3,4,0,8,3,20,128,20,82,2
2,3,4,0,8,4,14,84,4,64,1
2,3,4,0,8,4,14,84,14,20,2
2,3,4,0,8,5,17,112,4,67,1
2,3,4,0,8,5,17,112,17,45,2
2,3,4,0,8,6,10,92,3,51,1
2,3,4,0,8,6,10,92,10,41,2
2,3,4,0,8,7,12,89,3,50,1
2,3,4,0,8,7,12,89,12,39,2
2,3,4,0,8,8,15,121,4,73,1
2,3,4,0,8,8,15,121,15,48,2
2,3,4,0,8,9,6,105,2,48,1
2,3,4,0,8,9,6,105,6,57,2
2,3,4,0,8,10,6,108,2,51,1
2,3,4,0,8,10,6,108,6,57,2
2,3,4,0,8,11,17,117,4,69,1
2,3,4,0,8,11,17,117,17,48,2
2,3,4,0,8,12,20,121,5,44,1
2,3,4,0,8,12,20,121,20,77,2
2,3,4,0,8,13,18,112,5,44,1
2,3,4,0,8,13,18,112,18,68,2
2,3,4,0,8,14,17,112,4,68,1
2,3,4,0,8,14,17,112,17,44,2
2,3,4,0,8,15,15,119,4,69,1
2,3,4,0,8,15,15,119,15,50,2
2,4,2,0,6,1,10,139,2,63,1
2,4,2,0,6,1,10,139,5,38,2
2,4,2,0,6,1,10,139,10,38,3
2,4,2,0,6,2,14,151,3,60,1
2,4,2,0,6,2,14,151,7,40,2
2,4,2,0,6,2,14,151,14,51,3
2,4,2,0,6,3,9,177,2,66,1
2,4,2,0,6,3,9,177,4,48,2
2,4,2,0,6,3,9,177,9,63,3
2,4,2,0,6,4,11,135,2,62,1
2,4,2,0,6,4,11,135,5,41,2
2,4,2,0,6,4,11,135,11,32,3
2,4,2,0,6,5,9,179,2,65,1
2,4,2,0,6,5,9,179,4,48,2
2,4,2,0,6,5,9,179,9,66,3
2,4,2,0,6,6,8,161,2,61,1
2,4,2,0,6,6,8,161,4,48,2
2,4,2,0,6,6,8,161,8,52,3
2,4,2,0,6,7,9,182,2,65,1
2,4,2,0,6,7,9,182,4,49,2
2,4,2,0,6,7,9,182,9,68,3
2,4,2,0,6,8,10,156,2,65,1
2,4,2,0,6,8,10,156,5,48,2
2,4,2,0,6,8,10,156,10,43,3
2,4,2,0,6,9,13,179,3,59,1
2,4,2,0,6,9,13,179,6,45,2
2,4,2,0,6,9,13,179,13,75,3
2,4,2,0,6,10,8,163,2,64,1
2,4,2,0,6,10,8,163,4,49,2
2,4,2,0,6,10,8,163,8,50,3
2,4,2,0,6,11,13,176,3,57,1
2,4,2,0,6,11,13,176,6,43,2
2,4,2,0,6,11,13,176,13,76,3
2,4,2,0,6,12,12,150,3,58,1
2,4,2,0,6,12,12,150,6,43,2
2,4,2,0,6,12,12,150,12,49,3
2,4,2,0,6,13,9,175,2,65,1
2,4,2,0,6,13,9,175,4,50,2
2,4,2,0,6,13,9,175,9,60,3
2,4,2,0,6,14,9,179,2,62,1
2,4,2,0,6,14,9,179,4,52,2
2,4,2,0,6,14,9,179,9,65,3
2,4,2,0,6,15,9,176,2,62,1
2,4,2,0,6,15,9,176,4,46,2
2,4,2,0,6,15,9,176,9,68,3
2,4,3,0,0,1,21,96,2,40,1
2,4,3,0,0,1,21,96,7,48,2
2,4,3,0,0,1,21,96,21,8,3
2,4,3,0,0,2,34,113,4,59,1
2,4,3,0,0,2,34,113,11,25,2
2,4,3,0,0,2,34,113,34,29,3
2,4,3,0,0,3,40,123,4,55,1
2,4,3,0,0,3,40,123,13,60,2
2,4,3,0,0,3,40,123,40,8,3
2,4,3,0,0,4,30,119,3,54,1
2,4,3,0,0,4,30,119,10,51,2
2,4,3,0,0,4,30,119,30,14,3
2,4,3,0,0,5,36,149,4,57,1
2,4,3,0,0,5,36,149,12,51,2
2,4,3,0,0,5,36,149,36,41,3
2,4,3,0,0,6,25,138,3,52,1
2,4,3,0,0,6,25,138,8,29,2
2,4,3,0,0,6,25,138,25,57,3
2,4,3,0,0,7,38,174,4,57,1
2,4,3,0,0,7,38,174,13,61,2
2,4,3,0,0,7,38,174,38,56,3
2,4,3,0,0,8,39,127,4,59,1
2,4,3,0,0,8,39,127,13,61,2
2,4,3,0,0,8,39,127,39,7,3
2,4,3,0,0,9,27,137,3,54,1
2,4,3,0,0,9,27,137,9,36,2
2,4,3,0,0,9,27,137,27,47,3
2,4,3,0,0,10,38,169,4,57,1
2,4,3,0,0,10,38,169,13,60,2
2,4,3,0,0,10,38,169,38,52,3
2,4,3,0,0,11,19,167,2,44,1
2,4,3,0,0,11,19,167,6,73,2
2,4,3,0,0,11,19,167,19,50,3
2,4,3,0,0,12,35,156,4,60,1
2,4,3,0,0,12,35,156,12,51,2
2,4,3,0,0,12,35,156,35,45,3
2,4,3,0,0,13,37,126,4,55,1
2,4,3,0,0,13,37,126,12,48,2
2,4,3,0,0,13,37,126,37,23,3
2,4,3,0,0,14,38,172,4,56,1
2,4,3,0,0,14,38,172,13,61,2
2,4,3,0,0,14,38,172,38,55,3
2,4,3,0,0,15,38,175,4,58,1
2,4,3,0,0,15,38,175,13,62,2
2,4,3,0,0,15,38,175,38,55,3
2,4,4,0,4,1,44,125,3,53,1
2,4,4,0,4,1,44,125,11,48,2
2,4,4,0,4,1,44,125,44,24,3
2,4,4,0,4,2,78,165,5,46,1
2,4,4,0,4,2,78,165,20,54,2
2,4,4,0,4,2,78,165,78,65,3
2,4,4,0,4,3,36,161,2,47,1
2,4,4,0,4,3,36,161,9,37,2
2,4,4,0,4,3,36,161,36,77,3
2,4,4,0,4,4,64,135,4,27,1
2,4,4,0,4,4,64,135,16,55,2
2,4,4,0,4,4,64,135,64,53,3
2,4,4,0,4,5,52,147,3,51,1
2,4,4,0,4,5,52,147,13,47,2
2,4,4,0,4,5,52,147,52,49,3
2,4,4,0,4,6,79,143,5,44,1
2,4,4,0,4,6,79,143,20,50,2
2,4,4,0,4,6,79,143,79,49,3
2,4,4,0,4,7,40,158,3,53,1
2,4,4,0,4,7,40,158,10,43,2
2,4,4,0,4,7,40,158,40,62,3
2,4,4,0,4,8,33,163,2,47,1
2,4,4,0,4,8,33,163,8,58,2
2,4,4,0,4,8,33,163,33,58,3
2,4,4,0,4,9,26,131,2,43,1
2,4,4,0,4,9,26,131,7,40,2
2,4,4,0,4,9,26,131,26,48,3
2,4,4,0,4,10,30,185,2,46,1
2,4,4,0,4,10,30,185,8,58,2
2,4,4,0,4,10,30,185,30,81,3
2,4,4,0,4,11,73,154,5,49,1
2,4,4,0,4,11,73,154,18,52,2
2,4,4,0,4,11,73,154,73,53,3
2,4,4,0,4,12,33,159,2,45,1
2,4,4,0,4,12,33,159,8,59,2
2,4,4,0,4,12,33,159,33,55,3
2,4,4,0,4,13,33,170,2,46,1
2,4,4,0,4,13,33,170,8,64,2
2,4,4,0,4,13,33,170,33,60,3
2,4,4,0,4,14,41,162,3,54,1
2,4,4,0,4,14,41,162,10,44,2
2,4,4,0,4,14,41,162,41,64,3
2,4,4,0,4,15,42,151,3,50,1
2,4,4,0,4,15,42,151,11,47,2
2,4,4,0,4,15,42,151,42,54,3
3,2,2,0,7,1,3,67,3,67,1
3,2,2,0,7,2,3,64,3,64,1
3,2,2,0,7,3,2,83,2,83,1
3,2,2,0,7,4,2,83,2,83,1
3,2,2,0,7,5,2,83,2,83,1
3,2,2,0,7,6,2,83,2,83,1
3,2,2,0,7,7,2,81,2,81,1
3,2,2,0,7,8,2,82,2,82,1
3,2,2,0,7,9,2,82,2,82,1
3,2,2,0,7,10,3,66,3,66,1
3,2,2,0,7,11,2,84,2,84,1
3,2,2,0,7,12,2,83,2,83,1
3,2,2,0,7,13,3,63,3,63,1
3,2,2,0,7,14,3,63,3,63,1
3,2,2,0,7,15,3,65,3,65,1
3,2,3,0,4,1,2,71,2,71,1
3,2,3,0,4,2,2,72,2,72,1
3,2,3,0,4,3,2,72,2,72,1
3,2,3,0,4,4,2,64,2,64,1
3,2,3,0,4,5,3,69,3,69,1
3,2,3,0,4,6,3,68,3,68,1
3,2,3,0,4,7,3,69,3,69,1
3,2,3,0,4,8,3,70,3,70,1
3,2,3,0,4,9,3,71,3,71,1
3,2,3,0,4,10,2,69,2,69,1
3,2,3,0,4,11,4,74,4,74,1
3,2,3,0,4,12,2,69,2,69,1
3,2,3,0,4,13,4,74,4,74,1
3,2,3,0,4,14,3,69,3,69,1
3,2,3,0,4,15,2,68,2,68,1
3,2,4,0,0,1,4,42,4,42,1
3,2,4,0,0,2,4,44,4,44,1
3,2,4,0,0,3,2,33,2,33,1
3,2,4,0,0,4,5,48,5,48,1
3,2,4,0,0,5,3,45,3,45,1
3,2,4,0,0,6,3,48,3,48,1
3,2,4,0,0,7,2,34,2,34,1
3,2,4,0,0,8,3,47,3,47,1
3,2,4,0,0,9,2,33,2,33,1
3,2,4,0,0,10,4,42,4,42,1
3,2,4,0,0,11,2,37,2,37,1
3,2,4,0,0,12,3,49,3,49,1
3,2,4,0,0,13,4,39,4,39,1
3,2,4,0,0,14,3,44,3,44,1
3,2,4,0,0,15,3,46,3,46,1
3,3,2,0,4,1,5,144,2,51,1
3,3,2,0,4,1,5,144,5,93,2
3,3,2,0,4,2,5,145,2,54,1
3,3,2,0,4,2,5,145,5,91,2
3,3,2,0,4,3,5,144,2,53,1
3,3,2,0,4,3,5,144,5,91,2
3,3,2,0,4,4,5,154,2,57,1
3,3,2,0,4,4,5,154,5,97,2
3,3,2,0,4,5,5,140,2,50,1
3,3,2,0,4,5,5,140,5,90,2
3,3,2,0,4,6,5,149,2,55,1
3,3,2,0,4,6,5,149,5,94,2
3,3,2,0,4,7,5,141,2,53,1
3,3,2,0,4,7,5,141,5,88,2
3,3,2,0,4,8,5,145,2,52,1
3,3,2,0,4,8,5,145,5,93,2
3,3,2,0,4,9,5,147,2,53,1
3,3,2,0,4,9,5,147,5,94,2
3,3,2,0,4,10,5,147,2,53,1
3,3,2,0,4,10,5,147,5,94,2
3,3,2,0,4,11,4,115,2,54,1
3,3,2,0,4,11,4,115,4,61,2
3,3,2,0,4,12,5,151,2,56,1
3,3,2,0,4,12,5,151,5,95,2
3,3,2,0,4,13,5,144,2,54,1
3,3,2,0,4,13,5,144,5,90,2
3,3,2,0,4,14,5,146,2,54,1
3,3,2,0,4,14,5,146,5,92,2
3,3,2,0,4,15,5,145,2,51,1
3,3,2,0,4,15,5,145,5,94,2
3,3,3,0,0,1,13,98,4,70,1
3,3,3,0,0,1,13,98,13,28,2
3,3,3,0,0,2,10,72,3,54,1
3,3,3,0,0,2,10,72,10,18,2
3,3,3,0,0,3,9,83,3,52,1
3,3,3,0,0,3,9,83,9,31,2
3,3,3,0,0,4,12,79,4,69,1
3,3,3,0,0,4,12,79,12,10,2
3,3,3,0,0,5,6,82,2,59,1
3,3,3,0,0,5,6,82,6,23,2
3,3,3,0,0,6,11,85,4,71,1
3,3,3,0,0,6,11,85,11,14,2
3,3,3,0,0,7,7,106,2,61,1
3,3,3,0,0,7,7,106,7,45,2
3,3,3,0,0,8,7,101,2,60,1
3,3,3,0,0,8,7,101,7,41,2
3,3,3,0,0,9,5,83,2,59,1
